Project Name,Package Name,Type Name,Design Smell,Cause of the Smell,,Resolved,Reason
group27,com.csci5308.medinteract.admin.Controller,AdminController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,No,"The Unutilized Abstraction smell in the controller layer may be misleading, as it is actually being used to connect the frontend with the backend. While it may not be utilized in the backend itself, it is still serving a purpose in facilitating communication between the two layers."
group27,com.csci5308.medinteract.admin.Service,AdminServiceImpl,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,No,"The Unutilized Abstraction smell is observed in this scenario because the parent class is instantiated, leading to the assumption that it is not being used. However, in reality, the abstraction is being utilized."
group27,com.csci5308.medinteract.appointment.controller,AppointmentController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,No,"The Unutilized Abstraction smell in the controller layer may be misleading, as it is actually being used to connect the frontend with the backend. While it may not be utilized in the backend itself, it is still serving a purpose in facilitating communication between the two layers."
group27,com.csci5308.medinteract.appointment.service,AppointmentServiceImpl,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,Yes,
group27,com.csci5308.medinteract.article.controller,ArticleController,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: articleServiceImpl; doctorServiceImpl; COUNT; SPLIT_COUNT,,No,"The Deficient Encapsulation smell is evident in the model layer, where many of its methods need to be made public to be utilized by the service layer. As a result, removing these methods is not feasible."
group27,com.csci5308.medinteract.article.controller,ArticleController,Feature Envy,The tool detected a instance of this smell because fetchArticleWithSuggestion is more interested in members of the type: ArticleService,,No,"The Feature Envy smell is present in this layer because it is heavily reliant on methods from another class, as it is responsible for calling the next layer in the system."
group27,com.csci5308.medinteract.article.controller,ArticleController,Feature Envy,The tool detected a instance of this smell because deleteArticle is more interested in members of the type: ArticleService,,No,"The Feature Envy smell is present in this layer because it is heavily reliant on methods from another class, as it is responsible for calling the next layer in the system."
group27,com.csci5308.medinteract.article.controller,ArticleController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,No,"The Unutilized Abstraction smell in the controller layer may be misleading, as it is actually being used to connect the frontend with the backend. While it may not be utilized in the backend itself, it is still serving a purpose in facilitating communication between the two layers."
group27,com.csci5308.medinteract.article.model,ArticleModel,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: id; doctorId; coverImage; title; content; createdDate; isActive,,No,"The Deficient Encapsulation smell is evident in the model layer, where many of its methods need to be made public to be utilized by the service layer. As a result, removing these methods is not feasible."
group27,com.csci5308.medinteract.article.service,ArticleServiceImpl,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,Yes,
group27,com.csci5308.medinteract.city.controller,CityController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,No,"The Unutilized Abstraction smell in the controller layer may be misleading, as it is actually being used to connect the frontend with the backend. While it may not be utilized in the backend itself, it is still serving a purpose in facilitating communication between the two layers."
group27,com.csci5308.medinteract.city.model,CityModel,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 22 public methods,,Yes,
group27,com.csci5308.medinteract.city.service,CityServiceImpl,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,No,"The Unutilized Abstraction smell is observed in this scenario because the parent class is instantiated, leading to the assumption that it is not being used. However, in reality, the abstraction is being utilized."
group27,com.csci5308.medinteract.doctor.Controller,DoctorController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,No,"The Unutilized Abstraction smell in the controller layer may be misleading, as it is actually being used to connect the frontend with the backend. While it may not be utilized in the backend itself, it is still serving a purpose in facilitating communication between the two layers."
group27,com.csci5308.medinteract.doctor.Controller,DoctorController,Feature Envy,The tool detected a instance of this smell because registerDoctor is more interested in members of the type: DoctorService,,No,"The Feature Envy smell is present in this layer because it is heavily reliant on methods from another class, as it is responsible for calling the next layer in the system."
group27,com.csci5308.medinteract.doctor.Controller,DoctorController,Feature Envy,The tool detected a instance of this smell because updateDoctorById is more interested in members of the type: DoctorService,,No,"The Feature Envy smell is present in this layer because it is heavily reliant on methods from another class, as it is responsible for calling the next layer in the system."
group27,com.csci5308.medinteract.doctor.Controller,DoctorController,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 20 public methods,,Yes,
group27,com.csci5308.medinteract.doctor.Model,DoctorModel,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 38 public methods,,No,"The presence of Insufficient Modularization can be identified in this scenario due to the class containing an excessive number of getter and setter methods. Despite their abundance, these methods are necessary for obtaining and modifying attribute values within the class."
group27,com.csci5308.medinteract.doctor.Service,DoctorServiceImpl,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,No,"The Unutilized Abstraction smell is observed in this scenario because the parent class is instantiated, leading to the assumption that it is not being used. However, in reality, the abstraction is being utilized."
group27,com.csci5308.medinteract.doctor.Service,DoctorServiceImpl,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 25 public methods,,Yes,
group27,com.csci5308.medinteract.feedback.Controller,FeedbackController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,No,"The Unutilized Abstraction smell in the controller layer may be misleading, as it is actually being used to connect the frontend with the backend. While it may not be utilized in the backend itself, it is still serving a purpose in facilitating communication between the two layers."
group27,com.csci5308.medinteract.feedback.Service,FeebackServiceImpl,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,Yes,
group27,com.csci5308.medinteract.feedback.Service,FeebackServiceImpl,Feature Envy,The tool detected a instance of this smell because fetchFeedbackByDoctorIdAndPatient is more interested in members of the type: FeedbackRepository,,No,"The Feature Envy smell is present in this layer because it is heavily reliant on methods from another class, as it is responsible for calling the next layer in the system."
group27,com.csci5308.medinteract.medicine.controller,MedicineController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,No,"The Unutilized Abstraction smell in the controller layer may be misleading, as it is actually being used to connect the frontend with the backend. While it may not be utilized in the backend itself, it is still serving a purpose in facilitating communication between the two layers."
group27,com.csci5308.medinteract.medicine.service,MedicineServiceImpl,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,Yes,
group27,com.csci5308.medinteract.notification.controller,NotificationController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,Yes,
group27,com.csci5308.medinteract.notification.service,NotificationServiceImpl,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,Yes,
group27,com.csci5308.medinteract.patient.controller,PatientController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,No,"The Unutilized Abstraction smell in the controller layer may be misleading, as it is actually being used to connect the frontend with the backend. While it may not be utilized in the backend itself, it is still serving a purpose in facilitating communication between the two layers."
group27,com.csci5308.medinteract.patient.controller,PatientController,Feature Envy,The tool detected a instance of this smell because registerPatient is more interested in members of the type: PatientService,,No,"The Feature Envy smell is present in this layer because it is heavily reliant on methods from another class, as it is responsible for calling the next layer in the system."
group27,com.csci5308.medinteract.patient.controller,PatientController,Feature Envy,The tool detected a instance of this smell because updatePatientById is more interested in members of the type: PatientService,,No,"The Feature Envy smell is present in this layer because it is heavily reliant on methods from another class, as it is responsible for calling the next layer in the system."
group27,com.csci5308.medinteract.patient.model,PatientModel,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 34 public methods,,No,"The presence of Insufficient Modularization can be identified in this scenario due to the class containing an excessive number of getter and setter methods. Despite their abundance, these methods are necessary for obtaining and modifying attribute values within the class."
group27,com.csci5308.medinteract.prescription.controller,PrescriptionController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,No,"The Unutilized Abstraction smell in the controller layer may be misleading, as it is actually being used to connect the frontend with the backend. While it may not be utilized in the backend itself, it is still serving a purpose in facilitating communication between the two layers."
group27,com.csci5308.medinteract.prescription.service,PrescriptionServiceImpl,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,No,"The Unutilized Abstraction smell is observed in this scenario because the parent class is instantiated, leading to the assumption that it is not being used. However, in reality, the abstraction is being utilized."
group27,com.csci5308.medinteract.province.controller,ProvinceController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,No,"The Unutilized Abstraction smell in the controller layer may be misleading, as it is actually being used to connect the frontend with the backend. While it may not be utilized in the backend itself, it is still serving a purpose in facilitating communication between the two layers."
group27,com.csci5308.medinteract.province.service,ProvinceServiceImpl,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,No,"The Unutilized Abstraction smell is observed in this scenario because the parent class is instantiated, leading to the assumption that it is not being used. However, in reality, the abstraction is being utilized."
group27,com.csci5308.medinteract.Response,ResponseController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,No,"The Unutilized Abstraction smell in the controller layer may be misleading, as it is actually being used to connect the frontend with the backend. While it may not be utilized in the backend itself, it is still serving a purpose in facilitating communication between the two layers."
group27,com.csci5308.medinteract.utilities,FileUploadConfig,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,Yes,
group27,com.csci5308.medinteract.utilities,Scheduler,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,Yes,
group27,com.csci5308.medinteract.utilities,Scheduler,Feature Envy,The tool detected a instance of this smell because testScheduler is more interested in members of the type: AppointmentService,,Yes,
group27,com.csci5308.medinteract.utilities,WebSockets,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,Yes,
group27,com.csci5308.medinteract.JWT,JWT,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: SECRET_KEY; MINUTES; MILLISECONDS; SECONDS,,No,"The presence of Insufficient Modularization can be identified in this scenario due to the class containing an excessive number of getter and setter methods. Despite their abundance, these methods are necessary for obtaining and modifying attribute values within the class."
group27,com.csci5308.medinteract.utilities.JWT,JWTController,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,Yes,
group27,com.csci5308.medinteract.utilities.JWT,JWTController,Feature Envy,The tool detected a instance of this smell because validateJWTToken is more interested in members of the type: JWT,,No,"The Unutilized Abstraction smell in the controller layer may be misleading, as it is actually being used to connect the frontend with the backend. While it may not be utilized in the backend itself, it is still serving a purpose in facilitating communication between the two layers."
group27,com.csci5308.medinteract.doctor.controller,DoctorControllerTest,Feature Envy,The tool detected a instance of this smell because DoctorControllerTest is more interested in members of the type: DoctorModel,,No,"The Feature Envy smell is present in this test because it is heavily reliant on methods from another class, as it is responsible for testing those methods so it has to use them."
group27,com.csci5308.medinteract.doctor.service,DoctorServiceTest,Feature Envy,The tool detected a instance of this smell because DoctorServiceTest is more interested in members of the type: DoctorModel,,No,"The Feature Envy smell is present in this test because it is heavily reliant on methods from another class, as it is responsible for testing those methods so it has to use them."
group27,com.csci5308.medinteract.doctor.service,DoctorServiceTest,Feature Envy,The tool detected a instance of this smell because findDoctorOnDetailsWithCityTest is more interested in members of the type: DoctorModel,,No,"The Feature Envy smell is present in this test because it is heavily reliant on methods from another class, as it is responsible for testing those methods so it has to use them."
group27,com.csci5308.medinteract.patient.controller,PatientControllerTest,Feature Envy,The tool detected a instance of this smell because PatientControllerTest is more interested in members of the type: PatientModel,,No,"The Feature Envy smell is present in this test because it is heavily reliant on methods from another class, as it is responsible for testing those methods so it has to use them."
group27,com.csci5308.medinteract.patient.service,PatientServiceTest,Feature Envy,The tool detected a instance of this smell because PatientServiceTest is more interested in members of the type: PatientModel,,No,"The Feature Envy smell is present in this test because it is heavily reliant on methods from another class, as it is responsible for testing those methods so it has to use them."
