Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no,Resolved
group27,com.csci5308.medinteract.admin.Controller,AdminController,login,Long Statement,"The length of the statement ""Response res=new Response(jwtTokenUtil.generateToken(adminModel.getAdminEmail()`""admin""`adminModel)`false`""User logged in Successfully!"");"" is 138.",27,Removing this statement would make it harder to understand the code and could potentially lead to errors or confusion.
group27,com.csci5308.medinteract.admin.Controller,AdminControllerTest,login,Long Statement,"The length of the statement ""mockMvc.perform(post(""http://localhost:6969/admin/login"").contentType(MediaType.APPLICATION_JSON).content(""{ \""adminEmail\"": \""admin\""`\""adminPassword\"": \""Group27\"" }"")).andExpect(status().isOk()).andExpect(jsonPath(""$.msg"").value(""User logged in Successfully!"")).andExpect(jsonPath(""$.isError"").value(""false""));"" is 313.",23,Removing this statement would make it harder to understand the code and could potentially lead to errors or confusion.
group27,com.csci5308.medinteract.appointment.controller,AppointmentController,registerAppointment,Long Statement,"The length of the statement ""data.put(""message""`""Your appointment with "" + doctorModel.get().getDoctorName() + "" on ""+ appointmentModel.getStartTime().toLocalDate()+ ""` ""+ appointmentModel.getStartTime().toLocalTime()+ "" is created!"");"" is 206.",42,Removing this statement would make it harder to understand the code and could potentially lead to errors or confusion.
group27,com.csci5308.medinteract.appointment.controller,AppointmentController,registerAppointment,Long Statement,"The length of the statement ""NotificationModel notificationModel=new NotificationModel(""patient""`appointmentModel.getPatientId()`data.get(""message"").toString()`""Appointment Created""`""`""success""`LocalDateTime.now());"" is 187.",42,Removing this statement would make it harder to understand the code and could potentially lead to errors or confusion.
group27,com.csci5308.medinteract.appointment.controller,AppointmentController,registerAppointment,Long Statement,"The length of the statement ""data.put(""message""`""Your appointment with "" + patientModel.get().getPatientName() + "" on ""+ appointmentModel.getStartTime().toLocalDate()+ ""` ""+ appointmentModel.getStartTime().toLocalTime()+ "" is created!"");"" is 208.",42,Removing this statement would make it harder to understand the code and could potentially lead to errors or confusion.
group27,com.csci5308.medinteract.appointment.controller,AppointmentController,registerAppointment,Long Statement,"The length of the statement ""notificationModel=new NotificationModel(""doctor""`appointmentModel.getDoctorId()`data.get(""message"").toString()`""Appointment Created""`""`""success""`LocalDateTime.now());"" is 167.",42,Removing this statement would make it harder to understand the code and could potentially lead to errors or confusion.
group27,com.csci5308.medinteract.appointment.controller,AppointmentController,updateAppointment,Long Statement,"The length of the statement ""data.put(""message""`""Your appointment with "" + doctorModel.get().getDoctorName() + "" on ""+ appointmentModel.getStartTime().toLocalDate()+ ""` ""+ appointmentModel.getStartTime().toLocalTime()+ "" is updated!"");"" is 206.",76,Removing this statement would make it harder to understand the code and could potentially lead to errors or confusion.
group27,com.csci5308.medinteract.appointment.controller,AppointmentController,updateAppointment,Long Statement,"The length of the statement ""NotificationModel notificationModel=new NotificationModel(""patient""`appointmentModel.getPatientId()`data.get(""message"").toString()`""Appointment Updated""`""`""warning""`LocalDateTime.now());"" is 187.",76,Removing this statement would make it harder to understand the code and could potentially lead to errors or confusion.
group27,com.csci5308.medinteract.appointment.controller,AppointmentController,updateAppointment,Long Statement,"The length of the statement ""data.put(""message""`""Your appointment with "" + patientModel.get().getPatientName() + "" on ""+ appointmentModel.getStartTime().toLocalDate()+ ""` ""+ appointmentModel.getStartTime().toLocalTime()+ "" is updated!"");"" is 208.",76,Removing this statement would make it harder to understand the code and could potentially lead to errors or confusion.
group27,com.csci5308.medinteract.appointment.controller,AppointmentController,updateAppointment,Long Statement,"The length of the statement ""notificationModel=new NotificationModel(""doctor""`appointmentModel.getDoctorId()`data.get(""message"").toString()`""Appointment Updated""`""`""warning""`LocalDateTime.now());"" is 167.",76,Removing this statement would make it harder to understand the code and could potentially lead to errors or confusion.
