Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell,Resolved,Reason
group27,com.csci5308.medinteract.PasswordManager,PasswordEncodeDecodeTest,testGenerateKey,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,Yes,
group27,com.csci5308.medinteract.JWT,JWTControllerTest,testValidateJWTTokenTrue,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,No,"The Missing Assertion smell is apparent in this test since the .addExpect method is being utilized to verify the outcome of the test, given that the focus of this test is on the controller layer."
group27,com.csci5308.medinteract.JWT,JWTControllerTest,testValidateJWTTokenFalse,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,No,"The Missing Assertion smell is apparent in this test since the .addExpect method is being utilized to verify the outcome of the test, given that the focus of this test is on the controller layer."
group27,com.csci5308.medinteract.JWT,JWTTest,testGenerateTokenSize,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 3,Yes,
group27,com.csci5308.medinteract.FileUpload,FileUploaderTest,testSaveFile,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,Yes,
group27,com.csci5308.medinteract.appointment.controller,AppointmentControllerTestIT,registerAppointment,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,No,"The Missing Assertion smell is apparent in this test since the .addExpect method is being utilized to verify the outcome of the test, given that the focus of this test is on the controller layer."
group27,com.csci5308.medinteract.appointment.controller,AppointmentControllerTestIT,registerAppointmentWithEmptyPatientOrDoctor,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,No,"The Missing Assertion smell is apparent in this test since the .addExpect method is being utilized to verify the outcome of the test, given that the focus of this test is on the controller layer."
group27,com.csci5308.medinteract.appointment.controller,AppointmentControllerTestIT,fetchAppointmentsByDoctor,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,No,"The Missing Assertion smell is apparent in this test since the .addExpect method is being utilized to verify the outcome of the test, given that the focus of this test is on the controller layer."
group27,com.csci5308.medinteract.appointment.controller,AppointmentControllerTestIT,fetchAppointmentsByPatient,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.,No,"The Missing Assertion smell is apparent in this test since the .addExpect method is being utilized to verify the outcome of the test, given that the focus of this test is on the controller layer."
group27,com.csci5308.medinteract.appointment.controller,AppointmentControllerTestIT,updateAppointment,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.,Yes,
group27,com.csci5308.medinteract.appointment.controller,AppointmentControllerTestIT,updateAppointmentWithInvalidID,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.,Yes,
group27,com.csci5308.medinteract.appointment.controller,AppointmentControllerTestIT,deleteAppointment,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.,Yes,
group27,com.csci5308.medinteract.appointment.controller,AppointmentControllerTestIT,deleteAppointmentWithInvalidID,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.,Yes,
group27,com.csci5308.medinteract.appointment.controller,AppointmentControllerTestIT,fetchDoctorNamesByAppointments,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.,Yes,
group27,com.csci5308.medinteract.appointment.controller,AppointmentControllerTestIT,fetchAppointmentsByPatientAfterDate,Conditional test logic,The tool detected the smell in this test method because the test wraps the assert statements within control flow statements.,Yes,
